id,sentence,target
3492,"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined",+
3493,"it 's a treat watching shaw , a british stage icon , melting under the heat of phocion 's attentions",+
3494,"a sour , nasty offering",-
3495,i can analyze this movie in three words thumbs friggin ' down,-
3496,"brown 's saga , like many before his , makes for snappy prose but a stumblebum of a movie",-
3497,"if it 's another regurgitated action movie you 're after , there 's no better film than half past dead",-
3498,not a stereotype is omitted nor a clich left unsaid,-
3499,"birot creates a drama with such a well defined sense of place and age as in , 15 years old that the torments and angst become almost as operatic to us as they are to her characters",+
3500,those who are n't put off by the film 's austerity will find it more than capable of rewarding them,+
3501,few films this year have been as resolute in their emotional nakedness,+
3502,"foster and whitaker are especially fine she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew",+
3503,"the film is itself a sort of cinematic high crime , one that brings military courtroom dramas down very , very low",-
3504,barely gets off the ground,-
3505,a series of tales told with the intricate preciseness of the best short story writing,+
3506,"the most brilliant and brutal uk crime film since jack carter went back to newcastle , the first half of gangster no 1 drips with style and , at times , blood",+
3507,"tony gayton 's script does n't give us anything we have n't seen before , but director d j caruso 's grimy visual veneer and kilmer 's absorbing performance increase the gravitational pull considerably",+
3508,"the film 's strength is n't in its details , but in the larger picture it paints of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media soaked fears",+
3509,"13 conversations holds its goodwill close , but is relatively slow to come to the point",+
3510,it 's one pussy ass world when even killer thrillers revolve around group therapy sessions,-
3511,"too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay",-
3512,the movie suffers from two fatal ailments a dearth of vitality and a story that 's shapeless and uninflected,-
3513,"if you have n't seen the film lately , you may be surprised at the variety of tones in spielberg 's work much of it is funny , but there are also some startling , surrealistic moments",+
3514,"light years ahead of paint by number american blockbusters like pearl harbor , at least artistically",+
3515,"a movie that both thrills the eye and , in its over the top way , touches the heart",+
3516,"by the end of the movie , you 're definitely convinced that these women are spectacular",+
3517,"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive",-
3518,"it 's better suited for the history or biography channel , but there 's no arguing the tone of the movie it leaves a bad taste in your mouth and questions on your mind",-
3519,"it 's often faintly amusing , but the problems of the characters never become important to us , and the story never takes hold",-
3520,"an engaging , formulaic sports drama that carries a charge of genuine excitement",+
3521,"the sum of all fears pretends to be a serious exploration of nuclear terrorism , but it 's really nothing more than warmed over cold war paranoia",-
3522,brisk hack job,-
3523,spain 's greatest star wattage does n't overcome the tumult of maudlin tragedy,-
3524,"in his debut as a director , washington has a sure hand his work with actors is particularly impressive",+
3525,"there are a few stabs at absurdist comedy but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty",+
3526,"using his audience as a figurative port of call , dong pulls his even handed ideological ship to their dock for unloading , before he continues his longer journey still ahead",+
3527,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,+
